,Ward_name,n_poi
0,Beaches-East York,4
1,Davenport,2
2,Don Valley East,2
3,Don Valley North,2
4,Don Valley West,2
5,Eglinton-Lawrence,1
6,Etobicoke Centre,4
7,Etobicoke North,6
8,Etobicoke-Lakeshore,5
9,Humber River-Black Creek,1
10,Parkdale-High Park,5
11,Scarborough Centre,1
12,Scarborough North,1
13,Scarborough Southwest,2
14,Scarborough-Guildwood,3
15,Scarborough-Rouge Park,4
16,Spadina-Fort York,54
17,Toronto Centre,36
18,Toronto-Danforth,6
19,Toronto-St. Paul's,5
20,University-Rosedale,23
21,Willowdale,3
22,York Centre,1
