route_id,route_short_name,route_long_name
66712,1,LINE 1 (YONGE-UNIVERSITY)
66502,10,VAN HORNE
66503,100,FLEMINGDON PARK
66504,101,DOWNSVIEW PARK
66505,102,MARKHAM RD.
66506,104,FAYWOOD
66507,105,DUFFERIN NORTH
66508,106,SENTINEL
66509,107,YORK UNIVERSITY HEIGHTS
66510,108,DRIFTWOOD
66511,109,RANEE
66512,11,BAYVIEW
66513,110,ISLINGTON SOUTH
66514,111,EAST MALL
66515,112,WEST MALL
66516,113,DANFORTH ROAD
66517,115,SILVER HILLS
66518,116,MORNINGSIDE
66519,118,THISTLE DOWN
66520,119,TORBARRIE
66521,12,KINGSTON ROAD
66522,120,CALVINGTON
66523,121,ESPLANADE-RIVER
66524,122,GRAYDON HALL
66525,123,SHERWAY
66526,124,SUNNYBROOK
66527,125,DREWRY
66528,126,CHRISTIE
66529,127,DAVENPORT
66530,129,MCCOWAN NORTH
66531,13,AVENUE ROAD
66532,130,MIDDLEFIELD
66533,131,NUGGET
66534,132,MILNER
66535,133,NEILSON
66536,134,PROGRESS
66537,135,GERRARD
66538,14,GLENCAIRN
66539,15,EVANS
66540,16,McCOWAN
66541,160,BATHURST NORTH
66542,161,ROGERS ROAD
66543,162,LAWRENCE-DONWAY
66544,165,WESTON RD. NORTH
66545,167,PHARMACY NORTH
66546,168,SYMINGTON
66547,169,HUNTINGWOOD
66548,17,BIRCHMOUNT
66549,171,MOUNT DENNIS
66550,172,CHERRY BEACH
66551,174,ONTARIO PLACE-EXHIBITION
66552,175,BLUFFER'S PARK
66553,189,STOCKYARDS
66554,19,BAY
66713,2,LINE 2 (BLOOR - DANFORTH)
66555,20,CLIFFSIDE
66556,21,BRIMLEY
66557,22,COXWELL
66558,23,DAWES
66559,24,VICTORIA PARK
66560,25,DON MILLS
66561,26,DUPONT
66562,28,BAYVIEW SOUTH
66563,29,DUFFERIN
66714,3,LINE 3 (SCARBOROUGH)
66564,30,HIGH PARK
66565,300,BLOOR-DANFORTH NIGHT BUS
66566,301,QUEEN
66567,302,KINGSTON RD-McCOWAN NIGHT BUS
66568,304,KING
66569,306,CARLTON
66570,307,BATHURST NIGHT BUS
66571,31,GREENWOOD
66572,310,SPADINA
66573,312,ST.CLAIR-JUNCTION NIGHT BUS
66574,315,EVANS - BROWN'S LINE NIGHT BUS
66575,32,EGLINTON WEST
66576,320,YONGE NIGHT BUS
66577,322,COXWELL NIGHT BUS
66578,324,VICTORIA PARK NIGHT BUS
66579,325,DON MILLS NIGHT BUS
66580,329,DUFFERIN NIGHT BUS
66581,33,FOREST HILL
66582,332,EGLINTON WEST NIGHT BUS
66583,334,EGLINTON EAST NIGHT BUS
66584,335,JANE NIGHT BUS
66585,336,FINCH WEST NIGHT BUS
66586,337,ISLINGTON NIGHT BUS
66587,339,FINCH EAST NIGHT BUS
66588,34,EGLINTON EAST
66589,341,KEELE NIGHT BUS
66590,343,KENNEDY NIGHT BUS
66591,35,JANE
66592,352,LAWRENCE WEST NIGHT BUS
66593,353,STEELES NIGHT BUS
66594,354,LAWRENCE EAST NIGHT BUS
66595,36,FINCH WEST
66596,363,OSSINGTON NIGHT BUS
66597,365,PARLIAMENT NIGHT BUS
66598,37,ISLINGTON
66599,38,HIGHLAND CREEK
66600,384,SHEPPARD WEST NIGHT BUS
66601,385,SHEPPARD EAST NIGHT BUS
66602,39,FINCH EAST
66603,395,YORK MILLS NIGHT BUS
66604,396,WILSON NIGHT BUS
66715,4,LINE 4 (SHEPPARD)
66605,40,JUNCTION-DUNDAS WEST
66606,400,LAWRENCE MANOR
66607,402,PARKDALE
66608,403,DON MILLS SOUTH
66609,404,EAST YORK
66610,405,ETOBICOKE
66611,41,KEELE
66612,42,CUMMER
66613,43,KENNEDY
66614,44,KIPLING SOUTH
66615,45,KIPLING
66616,46,MARTIN GROVE
66617,47,LANSDOWNE
66618,48,RATHBURN
66619,49,BLOOR WEST
66620,50,BURNHAMTHORPE
66621,501,QUEEN
66622,503,KINGSTON RD
66623,504,KING
66624,505,DUNDAS
66625,506,CARLTON
66626,509,HARBOURFRONT
66627,51,LESLIE
66628,510,SPADINA
66629,511,BATHURST
66630,512,ST. CLAIR
66631,52,LAWRENCE WEST
66632,53,STEELES EAST
66633,54,LAWRENCE EAST
66634,55,WARREN PARK
66635,56,LEASIDE
66636,57,MIDLAND
66637,59,MAPLE LEAF
66638,60,STEELES WEST
66640,61,AVENUE ROAD NORTH
66641,62,MORTIMER
66642,63,OSSINGTON
66643,64,MAIN
66644,65,PARLIAMENT
66645,66,PRINCE EDWARD
66646,67,PHARMACY
66647,68,WARDEN
66648,69,WARDEN SOUTH
66649,7,BATHURST
66650,70,O'CONNOR
66651,71,RUNNYMEDE
66652,72,PAPE
66653,73,ROYAL YORK
66654,74,MOUNT PLEASANT
66655,75,SHERBOURNE
66656,76,ROYAL YORK SOUTH
66657,77,SWANSEA
66658,78,ST. ANDREWS
66659,79,SCARLETT RD.
66660,8,BROADVIEW
66661,80,QUEENSWAY
66662,81,THORNCLIFFE PARK
66663,82,ROSEDALE
66664,83,JONES
66665,84,SHEPPARD WEST
66666,85,SHEPPARD EAST
66667,86,SCARBOROUGH
66668,87,COSBURN
66669,88,SOUTH LEASIDE
66670,89,WESTON
66671,9,BELLAMY
66672,90,VAUGHAN
66673,900,AIRPORT EXPRESS
66674,902,MARKHAM RD EXPRESS
66675,905,EGLINTON EAST EXPRESS
66676,91,WOODBINE
66677,913,PROGRESS EXPRESS
66678,92,WOODBINE SOUTH
66679,924,VICTORIA PARK EXPRESS
66680,925,DON MILLS EXPRESS
66681,927,HIGHWAY 27 EXPRESS
66682,929,DUFFERIN EXPRESS
66683,93,PARKVIEW HILLS
66684,935,JANE EXPRESS
66685,937,ISLINGTON EXPRESS
66686,939,FINCH EXPRESS
66687,94,WELLESLEY
66688,941,KEELE EXPRESS
66689,943,KENNEDY EXPRESS
66690,944,KIPLING SOUTH EXPRESS
66691,945,KIPLING EXPRESS
66692,95,YORK MILLS
66693,952,LAWRENCE WEST EXPRESS
66694,953,STEELES EAST EXPRESS
66695,954,LAWRENCE EAST EXPRESS
66696,96,WILSON
66697,960,STEELES WEST EXPRESS
66698,968,WARDEN EXPRESS
66699,97,YONGE
66700,98,WILLOWDALE-SENLAC
66701,984,SHEPPARD WEST EXPRESS
66702,985,SHEPPARD EAST EXPRESS
66703,986,SCARBOROUGH EXPRESS
66704,989,WESTON EXPRESS
66705,99,ARROW ROAD
66706,995,YORK MILLS EXPRESS
66707,996,WILSON EXPRESS
